Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
02,2024,03,12,12,06,32,0.333,-0.121,NaN,47.208,45.728,NaN,203.354,19.477,16485.35,4.349
02,2024,03,12,12,06,32,0.3,-0.146,NaN,47.917,46.51,NaN,209.716,140.643,16454.6,4.349
02,2024,03,12,12,06,33,0.191,-0.069,NaN,43.614,46.242,NaN,245.853,73.458,16452.85,4.349
02,2024,03,12,12,06,33,0.149,-0.062,NaN,45.61,41.057,NaN,293.37,111.955,16437.7,4.349
02,2024,03,12,12,06,34,0.254,-0.093,NaN,43.37,44.186,NaN,241.245,9.056,16441.32,4.349
02,2024,03,12,12,06,34,0.199,-0.094,NaN,41.506,41.862,NaN,299.129,-115.795,16453.35,4.349
02,2024,03,12,12,06,35,0.257,-0.148,NaN,44.723,43.895,NaN,322.487,-99.791,16441.39,4.349
02,2024,03,12,12,06,35,0.28,-0.105,NaN,44.834,43.806,NaN,212.006,-134.863,16446.63,4.349
02,2024,03,12,12,06,36,0.254,-0.123,NaN,45.3,45.527,NaN,170.717,-212.893,16447.08,4.349
02,2024,03,12,12,06,36,0.162,-0.087,NaN,42.061,42.309,NaN,196.107,-164.831,16428.34,4.349
02,2024,03,12,12,06,37,0.17,-0.081,NaN,42.837,44.03,NaN,120.3,-101.847,16443.02,4.349
02,2024,03,12,12,06,37,0.225,-0.073,NaN,44.39,43.18,NaN,205.763,-6.663,16430.01,4.349
02,2024,03,12,12,06,38,0.214,-0.113,NaN,44.834,42.309,NaN,266.898,-168.948,16450.61,4.349
02,2024,03,12,12,06,38,0.242,-0.076,NaN,45.743,46.019,NaN,194.683,-91.938,16429.03,4.349
02,2024,03,12,12,06,39,0.248,-0.114,NaN,44.39,45.952,NaN,231.646,-182.734,16423.32,4.349
02,2024,03,12,12,06,39,0.249,-0.134,NaN,46.986,44.767,NaN,147.124,78.683,16458.47,4.349
02,2024,03,12,12,06,40,0.202,-0.076,NaN,45.965,44.499,NaN,237.535,307.852,16431.72,4.349
